Birth of a Theorem, Cedric Villani, mathematics, Bodley Head
Data Mining Handbook, Robert Nisbet, data science, Apress
Data Scientists at Work, Sebastian Gutierrez, data science, Apress
Data Smart, John Foreman, data science, Wiley
Fundamentals of Wavelets, Jaideva Goswami, mathematics, Random House
God Created the Integers, Stephen Hawking, mathematics, Penguin
How to Think Like Sherlock Holmes, Maria Konnikova, psychology, Penguin
Image Processing & Mathematical Morphology, Frank Shih, signal processing, CRC
Integration of the Indian States, VP Menon, history, Blackswan
Orientalism, Edward Said, history, Penguin
Physics & Philosophy, Werner Heisenberg, science, Penguin
Slaughterhouse Five, Kurt Vonnegut, fiction, Random House
Statistical Decision Theory, John Pratt, data science, MIT Press
Structure & Interpretation of Computer Programs, Gerald Sussman, computer science, MIT Press
Superfreakonomics, Stephen Dubner, economics, Harper Collins
The Age of Wrath, Abraham Eraly, history, Penguin
The Drunkard's Walk, Leonard Lodinow, science, Penguin
The Nature of Statistical Learning Theory, Vladimir Vapnik, data science, Springer
The New Machiavelli, HG Wells, fiction, Penguin
The Trial, Frank Kafka, fiction, Random House
Birth of a Theorem, Cedric Villani, mathematics, Bodley Head
Data Mining Handbook, Robert Nisbet, data science, Apress
Data Scientists at Work, Sebastian Gutierrez, data science, Apress
Data Smart, John Foreman, data science, Wiley
Fundamentals of Wavelets, Jaideva Goswami, mathematics, Random House
God Created the Integers, Stephen Hawking, mathematics, Penguin
How to Think Like Sherlock Holmes, Maria Konnikova, psychology, Penguin
Image Processing & Mathematical Morphology, Frank Shih, signal processing, CRC
Integration of the Indian States, VP Menon, history, Blackswan
Orientalism, Edward Said, history, Penguin
Physics & Philosophy, Werner Heisenberg, science, Penguin
Slaughterhouse Five, Kurt Vonnegut, fiction, Random House
Statistical Decision Theory, John Pratt, data science, MIT Press
Structure & Interpretation of Computer Programs, Gerald Sussman, computer science, MIT Press
Superfreakonomics, Stephen Dubner, economics, Harper Collins
The Age of Wrath, Abraham Eraly, history, Penguin
The Drunkard's Walk, Leonard Lodinow, science, Penguin
The Nature of Statistical Learning Theory, Vladimir Vapnik, data science, Springer
The New Machiavelli, HG Wells, fiction, Penguin
The Trial, Frank Kafka, fiction, Random House
Birth of a Theorem, Cedric Villani, mathematics, Bodley Head
Data Mining Handbook, Robert Nisbet, data science, Apress
Data Scientists at Work, Sebastian Gutierrez, data science, Apress
Data Smart, John Foreman, data science, Wiley
Fundamentals of Wavelets, Jaideva Goswami, mathematics, Random House
God Created the Integers, Stephen Hawking, mathematics, Penguin
How to Think Like Sherlock Holmes, Maria Konnikova, psychology, Penguin
Image Processing & Mathematical Morphology, Frank Shih, signal processing, CRC
Integration of the Indian States, VP Menon, history, Blackswan
Orientalism, Edward Said, history, Penguin
Physics & Philosophy, Werner Heisenberg, science, Penguin
Slaughterhouse Five, Kurt Vonnegut, fiction, Random House
Statistical Decision Theory, John Pratt, data science, MIT Press
Structure & Interpretation of Computer Programs, Gerald Sussman, computer science, MIT Press
Superfreakonomics, Stephen Dubner, economics, Harper Collins
The Age of Wrath, Abraham Eraly, history, Penguin
The Drunkard's Walk, Leonard Lodinow, science, Penguin
The Nature of Statistical Learning Theory, Vladimir Vapnik, data science, Springer
The New Machiavelli, HG Wells, fiction, Penguin
The Trial, Frank Kafka, fiction, Random House
